Cantidad,Referencia,Descripción
1,C1,Capacitor Electrolítico 47uF/16V
5,C2-6,Capacitor Electrolítico 1uF/25V
1,C7,Capacitor Cerámico 0.47uF
1,C8,Capacitor Cerámico 0.22uF
7,C9-15,Capacitor Cerámico 0.1uF
1,C16,Capacitor Cerámico 0.047uF
1,C17,Capacitor Cerámico 100pF
4,D1-4,"Display 7 segmento, ánodo común"
1,D5,Diodo Zener 2.4V
1,J1,Bornera 2 pines
1,JP1-6,1x02 Pin header con jumpers
1,P1,Conector microUSB
1,R1,Resistencia 1/4W 1 M ohm
1,R2,Resistencia 1/4W 470k ohm
1,R3,Resistencia 1/4W 100k ohm
1,R4,Resistencia 1/4W 47k ohm
1,R5,Resistencia 1/4W 10k ohm
4,R6-9,Resistencia 1/4W 330 ohm
1,RV1,Potenciómetro Trimmer 1k ohm
1,SW1,Pulsador 4.5mm x 4.5mm
3,SW2-4,"Switch, CuK OS102011MA1QN1 o similar"
1,TP1-2,"Punta de prueba, Keystone 5010 o similar"
1,U1,Base de 40 pines + ICL7107CPL
1,U2,Base de 16 pines + MAX232
1,U3,Regulador LM7905
